Type,Code,Area,All Residents,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E07000101,Stevenage,67468,5591,5448,6089,5703,5645,6425,6790,5763,4500,4154,3241,2753,2464,1867,1035
Scotland District,S12000030,Stirling,75300,6600,7200,4900,4500,5300,6700,7100,6300,5400,5800,4600,3900,3100,3900,0
England and Wales District,E08000007,Stockport,231057,16875,15184,15896,17124,18582,21363,22206,19670,17176,18263,14277,12238,10122,7640,4441
England and Wales District,E06000004,Stockton-on-Tees,155806,12819,12651,12602,11445,12003,14087,14644,13399,11609,11648,8745,7357,6089,4279,2429
England and Wales District,E06000021,Stoke-on-Trent,202048,16035,19089,18156,15829,16113,17810,17353,15534,14009,14721,11616,9368,7480,5639,3296
England and Wales District,E07000221,Stratford-on-Avon,100190,6737,5257,5382,5558,7242,8897,9596,8718,8187,9341,8117,6149,4931,3761,2317
England and Wales District,E07000082,Stroud,92660,6885,5246,4910,5438,7194,8815,8978,8303,7671,8292,6574,5107,4122,3110,2015
England and Wales District,E07000205,Suffolk Coastal,102493,7342,5325,4992,5471,6872,8716,9439,8849,8294,9918,8098,6556,5578,4341,2702
England and Wales District,E08000024,Sunderland,229054,17787,19709,16945,15877,17040,19937,20944,20020,17577,18011,13198,11833,9759,6841,3576
England and Wales District,E07000214,Surrey Heath,69752,5131,4207,4581,5072,6133,7101,7144,6146,5191,5287,4267,3401,2954,1955,1182
